SAMPLE,Pb,Average Pb (ppm),
pb.4.4.2,256.49,,
pb.4.4.2,255.53,,
pb.4.4.2,238.72, ,
pb.4.4.2,266,,
pb.4.4.2,274.8,,
pb.4.4.2,276.73,,
pb.4.4.2,277.84,263.73,
pb.4.4.1,187.36,,
pb.4.4.1,200.79,,
pb.4.4.1,193.73,193.96,
pb.4.4.3,262.87,,
pb.4.4.3,297.82,,
pb.4.4.3,264.68,275.1233333,
pb.4.10753sutter.1,96.31,,
pb.4.10753sutter.1,110.36,,
pb.4.10753sutter.1,102.78,103.15,
pb.4.10753sutter.2,209.78,,
pb.4.10753sutter.2,208.24,,
pb.4.10753sutter.2,203.38,207.1333333,
pb.4.10753sutter.3,87.61,,
pb.4.10753sutter.3,88.71,,
pb.4.10753sutter.3,92.12,89.48,
pb.dmgpark.4,48.79,,
pb.dmgpark.4,49.32,,
pb.dmgpark.4,35.8,44.63666667,
pb.dmgpark.5,48.08,,
pb.dmgpark.5,37.53,,
pb.dmgpark.5,40.04,41.88333333,
pb.dmgpark.6,54.16,,
pb.dmgpark.6,63.7,,
pb.dmgpark.6,60.44,59.43333333,
pb.dmgpark.7,43.39,,
pb.dmgpark.7,40.31,,
pb.dmgpark.7,48.42,44.04,
pb.dmgpark.8,143.87,,
pb.dmgpark.8,135.43,,
pb.dmgpark.8,132.7,137.3333333,
pb.dmgpark.9,87.36,,
pb.dmgpark.9,89.44,,
pb.dmgpark.9,85.28,87.36,
pb.413073carl322.1,100.9,,
pb.413073carl322.1,91.79,,
pb.413073carl322.1,104.69,99.12666667,
pb.413073carl322.2,100.52,,
pb.413073carl322.2,98.71,,
pb.413073carl322.2,99.04,99.42333333,
pb.413073carl322.3,230.88,,
pb.413073carl322.3,232.34,,
pb.413073carl322.3,228.04,230.42,
pb.413073carl322.4,78.7,,
pb.413073carl322.4,84.05,,
pb.413073carl322.4,86.39,83.04666667,
pb.4.2.1,122.64,,
pb.4.2.1,116.41,,
pb.4.2.1,107.2,115.4166667,
pb.4.2.2,92.86,,
pb.4.2.2,96.92,,
pb.4.2.2,92.02,93.93333333,
pb.4.2.3,207.66,,
pb.4.2.3,213.57,,
pb.4.2.3,217.54,212.9233333,
