Site_ID,Pb Average,AvgCat
PB.4.10656SutterAve.1,115.42,90-120
PB.4.10656SutterAve.2,93.93,90-120
PB.4.10656SutterAve.3,212.92,151-400
PB.4.10662SutterAve.1,109,90-120
PB.4.10662SutterAve.2,160,151-400
PB.4.10662SutterAve.3,126,121-150
PB.4.10753Sutter.1,103.15,90-120
PB.4.10753Sutter.2,207.13,151-400
PB.4.10753Sutter.3,89.48,<90
PB.4.10909Pierce411.1,110,90-120
PB.4.10909Pierce411.2,60,<90
PB.4.10909Pierce411.3,131,121-150
PB.4.12851Pierce106.3,116.37,90-120
PB.4.12851Pierce106.3,116.37,90-120
PB.4.12851Pierce108.1,154.65,151-400
PB.4.12851Pierce108.2,148.45,121-150
PB.4.12853Pierce106.1,238.83,151-400
PB.4.12853Pierce106.2,154.1,151-400
PB.4.12877Pierce120.1,105.06,90-120
PB.4.12877Pierce120.2,89.7,<90
PB.4.12877Pierce120.3,87.91,<90
PB.4.12905Pierce140.2,84,<90
PB.4.12905Pierce140.3,139,121-150
PB.4.13009Pierce.1,193.96,151-400
PB.4.13009Pierce.2,263.73,151-400
PB.4.13009Pierce.3,275.12,151-400
PB.4.13058Pierce.3,133.42,121-150
Pb.4.13064JouettSt.1,64,<90
Pb.4.13064JouettSt.2,91,90-120
Pb.4.13064JouettSt.3,122,121-150
PB.4.13073Carlst322.1,99.13,90-120
PB.4.13073Carlst322.2,99.42,90-120
PB.4.13073CarlSt322.4,83.05,<90
PB.4.13110 Jouett St.2,92,90-120
PB.4.13110 Jouett St.3,133,121-150
Pb.4.13110JouetteSt.1,121,121-150
PB.4.13508Pierce.2,115.5,90-120
PB.4.13508Piercest.1,141.94,121-150
PB.4.13703CarlSt322.3,230.42,151-400
Pb.4.AmericanFruitsandFlavors.1,171,151-400
PB.4.AmericanFruitsandflavors.2,120,90-120
PB.4.AmericanFruitsandFlavors.3,106,90-120
PB.4.DavidGonzalesPark.4,44.64,<90
PB.4.DavidMGonzalesPark.5,41.88,<90
PB.4.DavidMGonzalesPark.6,59.43,<90
PB.4.DavidMGonzalesPark.7,44.04,<90
PB.4.DavidMGonzalesPark.8,137.33,121-150
PH.4.12905Pierce140.1,64,<90
PB.4.10600NSutter.1,233.29,151-400
PB.4.10600NSutter.2,387.38,151-400
PB.4.10600Nsutter.3,138.39,121-150
PB.4.10652SutterAve.1,156.77,151-400
PB.4.10652SutterAve.2,123.17,121-150
PB.4.10652SutterAve.3,111.6,90-120
PB.4.13070CarlSt443.1,196.09,151-400
PB.4.13070CarlSt443.2,130.19,121-150
PB.4.13070CarlSt443.3,136.2,121-150
PB.4.DavidMGonzalezPark.1,73.45,<90
PB.4.DavidMGonzalezPark.2,102.16,90-120
PB.4.DavidMGonzalezPark.3,119.79,90-120
